

wavelength(nm), Y
1593.45, -24.1365
1593.44, -21.8918
1593.42, -20.5184
1593.41, -19.7462
1593.4, -19.4406
1593.39, -19.5496
1593.38, -20.088
1593.37, -21.1428
1593.36, -22.905
1593.35, -25.7588
1593.34, -30.411
1593.33, -34.2667
1593.32, -29.2637
1593.31, -25.1204
1593.3, -22.5704
1593.29, -20.9693
1593.28, -19.9962
1593.27, -19.5002
1593.26, -19.426
1593.24, -19.7872
1593.23, -20.6635
1593.22, -22.2207
1593.21, -24.7731
1593.2, -28.9343
1593.19, -34.3458
1593.18, -31.1306
1593.17, -26.3994
1593.16, -23.4545
1593.15, -21.5719
1593.14, -20.367
1593.13, -19.668
1593.12, -19.4142
1593.11, -19.6167
1593.1, -20.3466
1593.09, -21.7418
1593.08, -24.0494
1593.06, -27.7577
1593.05, -33.4021
1593.04, -33.2127
1593.03, -27.901
1593.02, -24.4551
1593.01, -22.2339
1593, -20.7703
1592.99, -19.8632
1592.98, -19.4423
1592.97, -19.5122
1592.96, -20.1283
1592.95, -21.3932
1592.94, -23.4884
1592.93, -26.784
1592.92, -31.9796
1592.91, -35.0259
1592.9, -29.5447
1592.89, -25.483
1592.87, -22.8688
1592.86, -21.1299
1592.85, -20.0224
1592.84, -19.4581
1592.83, -19.4251
1592.82, -19.9516
1592.81, -21.0985
1592.8, -22.9874
1592.79, -25.8938
1592.78, -30.4453
1592.77, -35.6681
1592.76, -31.2758
1592.75, -26.4927
1592.74, -23.4351
1592.73, -21.4157
1592.72, -20.1263
1592.71, -19.4459
1592.69, -19.3313
1592.68, -19.7737
1592.67, -20.7922
1592.66, -22.4624
1592.65, -24.9929
1592.64, -28.8974
1592.63, -34.64
1592.62, -33.0338
1592.61, -27.5009
1592.6, -23.9486
1592.59, -21.6491
1592.58, -20.1975
1592.57, -19.4182
1592.56, -19.2239
1592.55, -19.566
1592.54, -20.431
1592.53, -21.866
1592.52, -24.0347
1592.5, -27.3502
1592.49, -32.608
1592.48, -34.5701
1592.47, -28.5852
1592.46, -24.4785
1592.45, -21.8926
1592.44, -20.2853
1592.43, -19.404
1592.42, -19.1106
1592.41, -19.3234
1592.4, -20.0094
1592.39, -21.2
1592.38, -23.0297
1592.37, -25.8327
1592.36, -30.3533
1592.35, -35.1216
1592.34, -29.8687
1592.32, -25.1348
1592.31, -22.2341
1592.3, -20.4544
1592.29, -19.4465
1592.28, -19.0229
1592.27, -19.078
1592.26, -19.5689
1592.25, -20.5191
1592.24, -22.0428
1592.23, -24.4147
1592.22, -28.2517
1592.21, -33.9889
1592.2, -31.459
1592.19, -26.0497
1592.18, -22.7711
1592.17, -20.7773
1592.16, -19.6052
1592.15, -19.0194
1592.13, -18.8966
1592.12, -19.1882
1592.11, -19.9128
1592.1, -21.1697
1592.09, -23.1885
1592.08, -26.4662
1592.07, -31.885
1592.06, -33.2491
1592.05, -27.3474
1592.04, -23.5893
1592.03, -21.3191
1592.02, -19.9392
1592.01, -19.1623
1592, -18.8479
1591.99, -18.9421
1591.98, -19.4594
1591.97, -20.4879
1591.96, -22.222
1591.94, -25.0599
1591.93, -29.8192
1591.92, -34.5031
1591.91, -29.1036
1591.9, -24.7327
1591.89, -22.1047
1591.88, -20.4673
1591.87, -19.4702
1591.86, -18.9515
1591.85, -18.8507
1591.84, -19.1785
1591.83, -20.0133
1591.82, -21.5199
1591.81, -24.0141
1591.8, -28.1476
1591.79, -34.1901
1591.78, -31.2887
1591.77, -26.1816
1591.75, -23.0934
1591.74, -21.1419
1591.73, -19.8938
1591.72, -19.1592
1591.71, -18.8683
1591.7, -19.0268
1591.69, -19.702
1591.68, -21.0284
1591.67, -23.249
1591.66, -26.8544
1591.65, -32.6739
1591.64, -33.6378
1591.63, -27.8669
1591.62, -24.1974
1591.61, -21.8715
1591.6, -20.3459
1591.59, -19.3914
1591.58, -18.9239
1591.56, -18.9395
1591.55, -19.4883
1591.54, -20.669
1591.53, -22.6572
1591.52, -25.8112
1591.51, -30.907
1591.5, -35.3266
1591.49, -29.7105
1591.48, -25.3317
1591.47, -22.573
1591.46, -20.7529
1591.45, -19.5863
1591.44, -18.9653
1591.43, -18.8668
1591.42, -19.3136
1591.41, -20.3636
1591.4, -22.1334
1591.39, -24.8825
1591.37, -29.2261
1591.36, -35.1684
1591.35, -31.6323
1591.34, -26.4529
1591.33, -23.2068
1591.32, -21.0863
1591.31, -19.7254
1591.3, -18.9769
1591.29, -18.7849
1591.28, -19.1362
1591.27, -20.0488
1591.26, -21.5951
1591.25, -23.9674
1591.24, -27.6406
1591.23, -33.3833
1591.22, -33.4657
1591.21, -27.5804
1591.2, -23.7933
1591.18, -21.371
1591.17, -19.8334
1591.16, -18.9728
1591.15, -18.6892
1591.14, -18.9312
1591.13, -19.6863
1591.12, -20.9988
1591.11, -23.0183
1591.1, -26.1163
1591.09, -31.0902
1591.08, -34.6517
1591.07, -28.7848
1591.06, -24.4027
1591.05, -21.6699
1591.04, -19.9601
1591.03, -18.984
1591.02, -18.5914
1591.01, -18.6993
1590.99, -19.2761
