

wavelength(nm), Y
1572.5, -14.9332
1572.46, -14.0315
1572.43, -13.2319
1572.4, -12.5168
1572.36, -11.8733
1572.33, -11.2919
1572.29, -10.7654
1572.26, -10.2883
1572.22, -9.85617
1572.19, -9.46562
1572.16, -9.11356
1572.12, -8.79722
1572.09, -8.51395
1572.05, -8.26117
1572.02, -8.03639
1571.98, -7.83723
1571.95, -7.66155
1571.92, -7.50763
1571.88, -7.37397
1571.85, -7.25963
1571.81, -7.16416
1571.78, -7.08763
1571.74, -7.03054
1571.71, -6.99375
1571.67, -6.97834
1571.64, -6.98546
1571.61, -7.01623
1571.57, -7.07157
1571.54, -7.15212
1571.5, -7.25825
1571.47, -7.39002
1571.43, -7.54732
1571.4, -7.72995
1571.37, -7.93778
1571.33, -8.17098
1571.3, -8.43009
1571.26, -8.71608
1571.23, -9.03064
1571.19, -9.37615
1571.16, -9.75579
1571.13, -10.1735
1571.09, -10.6343
1571.06, -11.1439
1571.02, -11.7093
1570.99, -12.3391
1570.95, -13.0435
1570.92, -13.8359
1570.89, -14.7336
1570.85, -15.7605
1570.82, -16.9505
1570.78, -18.355
1570.75, -20.0569
1570.71, -22.2023
1570.68, -25.0868
1570.65, -29.4686
1570.61, -38.7359
1570.58, -39.1278
1570.54, -29.5937
1570.51, -25.1517
1570.48, -22.2395
1570.44, -20.0785
1570.41, -18.3673
1570.37, -16.957
1570.34, -15.763
1570.3, -14.7322
1570.27, -13.8293
1570.24, -13.0293
1570.2, -12.3144
1570.17, -11.6709
1570.13, -11.0889
1570.1, -10.5609
1570.06, -10.0809
1570.03, -9.64471
1570, -9.24891
1569.96, -8.89095
1569.93, -8.56869
1569.89, -8.28028
1569.86, -8.02394
1569.82, -7.79787
1569.79, -7.60023
1569.76, -7.4291
1569.72, -7.28258
1569.69, -7.15885
1569.65, -7.05629
1569.62, -6.97356
1569.58, -6.90968
1569.55, -6.8641
1569.52, -6.83679
1569.48, -6.82804
1569.45, -6.8385
1569.41, -6.86918
1569.38, -6.92124
1569.35, -6.99598
1569.31, -7.09463
1569.28, -7.21834
1569.24, -7.36812
1569.21, -7.54482
1569.17, -7.74918
1569.14, -7.98194
1569.11, -8.24391
1569.07, -8.53615
1569.04, -8.86009
1569, -9.21772
1568.97, -9.61167
1568.94, -10.0454
1568.9, -10.5235
1568.87, -11.0514
1568.83, -11.636
1568.8, -12.2861
1568.76, -13.0125
1568.73, -13.8294
1568.7, -14.7554
1568.66, -15.8164
1568.63, -17.0492
1568.59, -18.5105
1568.56, -20.2923
1568.52, -22.5615
1568.49, -25.6683
1568.46, -30.5817
1568.42, -42.8427
1568.39, -35.9598
1568.35, -28.2902
1568.32, -24.2783
1568.29, -21.5527
1568.25, -19.4929
1568.22, -17.8434
1568.18, -16.4736
1568.15, -15.308
1568.11, -14.2989
1568.08, -13.4138
1568.05, -12.63
1568.01, -11.9305
1567.98, -11.3023
1567.94, -10.7356
1567.91, -10.2226
1567.88, -9.75714
1567.84, -9.33444
1567.81, -8.95083
1567.77, -8.60344
1567.74, -8.29009
1567.71, -8.00913
1567.67, -7.75904
1567.64, -7.53853
1567.6, -7.34635
1567.57, -7.18124
1567.53, -7.04184
1567.5, -6.92676
1567.47, -6.83459
1567.43, -6.76398
1567.4, -6.71371
1567.36, -6.68283
1567.33, -6.67065
1567.3, -6.67689
1567.26, -6.70162
1567.23, -6.74532
1567.19, -6.8088
1567.16, -6.89316
1567.13, -6.99974
1567.09, -7.13001
1567.06, -7.28536
1567.02, -7.46722
1566.99, -7.67699
1566.95, -7.916
1566.92, -8.18557
1566.89, -8.48714
1566.85, -8.82235
1566.82, -9.19324
1566.78, -9.6024
1566.75, -10.0532
1566.72, -10.5501
1566.68, -11.0987
1566.65, -11.7063
1566.61, -12.3823
1566.58, -13.1391
1566.55, -13.9926
1566.51, -14.9648
1566.48, -16.0861
1566.44, -17.4011
1566.41, -18.9794
1566.38, -20.9386
1566.34, -23.5031
1566.31, -27.1908
1566.27, -33.7602
1566.24, -48.7448
1566.2, -31.5917
1566.17, -26.0978
1566.14, -22.7673
1566.1, -20.3791
1566.07, -18.5231
1566.03, -17.0116
1566, -15.7426
1565.97, -14.6547
1565.93, -13.7079
1565.9, -12.8749
1565.86, -12.1357
1565.83, -11.4752
1565.8, -10.8819
1565.76, -10.3466
1565.73, -9.86198
1565.69, -9.42201
1565.66, -9.02189
1565.63, -8.65778
1565.59, -8.32671
1565.56, -8.02643
1565.52, -7.75527
1565.49, -7.51208
1565.46, -7.29603
1565.42, -7.10652
1565.39, -6.94307
1565.35, -6.80518
1565.32, -6.69233
1565.29, -6.60392
1565.25, -6.53911
1565.22, -6.49709
1565.18, -6.47702
1565.15, -6.47814
1565.12, -6.49986
1565.08, -6.54178
1565.05, -6.60381
1565.01, -6.68619
1564.98, -6.78947
1564.95, -6.91452
1564.91, -7.0625
1564.88, -7.23479
1564.84, -7.43294
1564.81, -7.65864
1564.78, -7.91367
1564.74, -8.19992
1564.71, -8.51949
1564.67, -8.87462
1564.64, -9.26791
1564.61, -9.70252
1564.57, -10.1824
1564.54, -10.7126
1564.5, -11.2995
1564.47, -11.9514
1564.44, -12.6792
1564.4, -13.4974
1564.37, -14.4254
1564.33, -15.4902
1564.3, -16.7307
1564.27, -18.2064
1564.23, -20.0141
1564.2, -22.3296
1564.16, -25.5277
1564.13, -30.675
1564.1, -44.6489
1564.06, -34.6657
1564.03, -27.5143
1563.99, -23.654
1563.96, -21.0057
1563.93, -18.9951
1563.89, -17.38
1563.86, -16.0356
1563.82, -14.889
1563.79, -13.8943
1563.76, -13.0205
1563.72, -12.2457
1563.69, -11.5542
1563.65, -10.9338
1563.62, -10.3751
1563.59, -9.87059
1563.55, -9.41403
1563.52, -9.00036
1563.48, -8.62536
1563.45, -8.28544
1563.42, -7.97771
1563.38, -7.69992
1563.35, -7.45032
1563.31, -7.22764
1563.28, -7.03099
1563.25, -6.85979
1563.21, -6.71366
1563.18, -6.59233
1563.14, -6.49555
1563.11, -6.42301
1563.08, -6.37431
1563.04, -6.34895
1563.01, -6.34634
1562.97, -6.36586
1562.94, -6.40692
1562.91, -6.4691
1562.87, -6.55212
1562.84, -6.6559
1562.81, -6.78077
1562.77, -6.92739
1562.74, -7.09679
1562.7, -7.29036
1562.67, -7.50982
1562.64, -7.75717
1562.6, -8.03468
1562.57, -8.34488
1562.53, -8.69054
1562.5, -9.07475
1562.47, -9.50101
1562.43, -9.97341
1562.4, -10.4969
