

wavelength(nm), Y
1568.29, -10.2415
1568.25, -9.72317
1568.22, -9.25976
1568.18, -8.84564
1568.15, -8.47631
1568.11, -8.14825
1568.08, -7.85879
1568.05, -7.60609
1568.01, -7.38903
1567.98, -7.20703
1567.94, -7.05993
1567.91, -6.94769
1567.88, -6.8702
1567.84, -6.82703
1567.81, -6.81736
1567.77, -6.83989
1567.74, -6.89302
1567.71, -6.97496
1567.67, -7.08408
1567.64, -7.21917
1567.6, -7.37974
1567.57, -7.56625
1567.53, -7.78031
1567.5, -8.02476
1567.47, -8.30369
1567.43, -8.62239
1567.4, -8.98725
1567.36, -9.40569
1567.33, -9.88607
1567.3, -10.4378
1567.26, -11.0715
1567.23, -11.8
1567.19, -12.6391
1567.16, -13.61
1567.13, -14.7425
1567.09, -16.0816
1567.06, -17.6992
1567.02, -19.7198
1566.99, -22.3866
1566.95, -26.2754
1566.92, -33.395
1566.89, -40.4775
1566.85, -29.0228
1566.82, -24.0626
1566.78, -20.9366
1566.75, -18.6676
1566.72, -16.8988
1566.68, -15.4598
1566.65, -14.2568
1566.61, -13.2305
1566.58, -12.341
1566.55, -11.5608
1566.51, -10.87
1566.48, -10.2537
1566.44, -9.70128
1566.41, -9.20467
1566.38, -8.75822
1566.34, -8.35793
1566.31, -8.00103
1566.27, -7.68553
1566.24, -7.4098
1566.2, -7.17237
1566.17, -6.97165
1566.14, -6.8059
1566.1, -6.67327
1566.07, -6.5719
1566.03, -6.5001
1566, -6.45652
1565.97, -6.44035
1565.93, -6.45136
1565.9, -6.49
1565.86, -6.55735
1565.83, -6.65502
1565.8, -6.78506
1565.76, -6.94978
1565.73, -7.15163
1565.69, -7.3931
1565.66, -7.67674
1565.63, -8.00515
1565.59, -8.38124
1565.56, -8.80844
1565.52, -9.2911
1565.49, -9.83493
1565.46, -10.4476
1565.42, -11.1396
1565.39, -11.925
1565.35, -12.823
1565.32, -13.8605
1565.29, -15.0758
1565.25, -16.5265
1565.22, -18.3055
1565.18, -20.5783
1565.15, -23.6885
1565.12, -28.563
1565.08, -39.5135
1565.05, -33.7784
1565.01, -26.4315
1564.98, -22.4976
1564.95, -19.8208
1564.91, -17.7972
1564.88, -16.1734
1564.84, -14.8198
1564.81, -13.6616
1564.78, -12.6529
